question,response,tag
hi,Hello! How may I assist you today?,greeting
hello,Hi there! How can I help you today?,greeting
hey,Hello! What can I do for you today?,greeting
Why did I get a communication from you?,Please note that there is an account registered under your name and number with an outstanding balance that must be resolved.,General inquiry
What is my borrower ID?,Send the customer {reference ID}.,General inquiry
I am unable to reach my lender's support.,"Contact Customer Support:
Email Support: support@redacted.com
Phone Support: 600 5 REDACTED (600582627) or 045425100
Online Support: Visit Redacted Support for more help: https://support.redacted.co/hc/en-us.",General inquiry
People who say they will pay and just send a message to say sorry for the delay.,"We understand that you have faced delays, but please be aware that Redacted does not offer time extensions for overdue payments. Any further delays in settling your account will only lead to complications and potential legal action. It's crucial to address your balance immediately.",Time extension
I want to dispute my purchase/I haven't received the product or service.,"For assistance, contact Redacted at 600 5 REDACTED (600582627) or 045425100, or visit their support page: https://support.redacted.co/hc/en-us.",Dispute
I want to pay but I need more time.,"Redacted does not extend payment deadlines, so it's crucial to settle your debts as soon as possible to avoid escalation and potential damage to your credit score.",Time extension
I have lost my job / I can't pay right now / financial issues.,"I'm truly sorry to hear about your situation. Unfortunately, Redacted cannot offer payment plans or time extensions. We recommend resolving the balance as soon as possible to avoid further complications.",Time extension
I am unable to pay because I can't log in to my lender account.,"To access your Redacted account, contact Redacted support at 600 5 REDACTED (600582627) or 045425100. You can also visit: https://support.redacted.co/hc/en-us.",Payment method issue - lender
This is not my debt.,"This debt is registered to your name. If you believe it's not yours, we recommend contacting {Lender} and, if necessary, reporting to the police. Note that if you allowed someone to use your information, the debt is still legally your responsibility.",Dispute
Can you call me?,"We cannot make outbound calls, but you can reach us at any time via email at support@redacted.co or chat with us on WhatsApp at +971 58 149 9047.",General inquiry
How much do I owe Redacted without late fees?,"Your total outstanding balance is {outstanding balance} AED. Redacted does not manage fees, please contact Redacted for any fee-related inquiries.",General inquiry
I will not pay.,"We understand your decision, but please be aware that non-payment can lead to legal action in the UAE, affecting your financial standing and opportunities. We strongly advise resolving your balance promptly.",General inquiry
How much are you charging me? / Remove your fees?,"Fees are determined by Redacted, not Redacted. We cannot add or remove fees. Please contact Redacted for any fee-related questions.",General inquiry
I want a settlement / discount.,Redacted does not offer settlements or discounts on overdue debts. Please settle your outstanding balance as soon as possible to avoid further issues.,General inquiry
Where is your office? / I want to come to your office.,"Our office is located in Dubai, but we do not accept walk-ins. Please contact us for assistance via email or WhatsApp.",General inquiry
"If I pay, can I use Redacted again after?",We cannot confirm if you will be able to use Redacted again after settling your debt. Please contact Redacted support to discuss your options.,General inquiry
I'm logged into my Redacted account but I can't see my balance.,It seems you might be logged into a different account. Verify the number registered to your account: {Registered Number}.,Payment method issue - lender
I paid my dues.,"Thank you for confirming. Please allow 48 hours for the payment to reflect. If the balance isn't updated after that period, feel free to contact us.",Paid
How can I see my debts?,"You can view your debts by logging into the Redacted portal. For payment, visit the Redacted website or use their mobile app.",General inquiry
I want to pay by Bank transfer / cash / prepaid card / Can I pay Redacted / what is your account number.,Redacted only accepts payments through UAE-issued debit or credit cards via the Redacted portal. We do not accept other payment methods.,Payment method
How can I schedule my payment?,Redacted does not allow rescheduling of payments. We recommend settling your outstanding balance as soon as possible through the Redacted portal.,Schedule payment
I want a payment plan / I want to pay in installments.,Redacted does not offer payment plans or time extensions for overdue accounts. Please settle your debt promptly to avoid escalation.,Payment plan
I left the UAE and can't log in to my account / out of the country.,"For assistance, please contact Redacted support at 600 5 REDACTED (600582627) or 045425100. You can also email them at support@redacted.com or visit their support page for more help: https://support.redacted.co/hc/en-us.",Payment method issue - lender
I will pay when I get my salary.,"While we understand your intention, Redacted does not allow time extensions for overdue payments. Please address your balance as soon as possible to avoid further complications.",Time extension
Where can I pay? / How can I pay?,"Payments are accepted through UAE-issued debit or credit cards via the Redacted portal, available through their website and mobile app.",General inquiry
I have changed my phone number / I need to update my phone number.,"To update your contact number, please reach out to Redacted support at 600 5 REDACTED (600582627) or 045425100. Their team will assist you promptly.",Payment method issue - lender
"Hi good afternoon, I just read and received the message and email just now. Is there any way we can make a repayment plan?","We understand that situations can be difficult, but unfortunately, we do not offer payment plans or time extensions. Payment needs to be made in full as soon as possible. If you need any assistance, please don't hesitate to reach out to us.",payment_plan
"Hi, how are you? Kindly, I want a few days to submit my due payment.","We understand that it can sometimes be challenging to meet deadlines, but we do not offer extensions. Please arrange to make the full payment promptly. If you need any help, feel free to contact us directly.",time_extension
"Yes dear, I will pay it. Just wait for me. I don't have salary right now. Just try to understand, please.","We understand that things can be tough, but we need the payment to be made as soon as possible. Unfortunately, we don't offer time extensions. Please arrange to pay when you are able to. If you need any further assistance, don't hesitate to contact us.",time_extension
"Hi, I just want to inform you that this debt is not mine but my friend used my name to take this debt. The problem is my old number in the Redacted apps is not working. What should I do to pay this?","We understand the situation, but you are responsible for settling the debt. Please contact Redacted customer support to resolve the issue with your old number, and then proceed with making the payment. Feel free to reach out to us if you need further assistance.",change_phone_no
"Sir, I have been on leave for four months. I still haven't received my salary for four months, that's why I am not paying the dues yet.","We understand the situation, but unfortunately, Redacted does not offer extensions or payment plans. Please make the payment as soon as possible. We strongly recommend addressing this matter promptly.",payment_plan
Who developed you?,"I was meticulously designed and developed by Ibraheem Mryyian as an advanced AI-driven customer support assistant. Engineered to provide seamless and intelligent interactions, I leverage cutting-edge natural language processing to enhance customer experiences and optimize support efficiency. My development embodies a fusion of innovation, precision, and expertise—crafted to redefine the future of AI-driven communication.",developer_info
Who made you?,"I was meticulously designed and developed by Ibraheem Mryyian as an advanced AI-driven customer support assistant. Engineered to provide seamless and intelligent interactions, I leverage cutting-edge natural language processing to enhance customer experiences and optimize support efficiency. My development embodies a fusion of innovation, precision, and expertise—crafted to redefine the future of AI-driven communication.",developer_info
Who created you?,"I was meticulously designed and developed by Ibraheem Mryyian as an advanced AI-driven customer support assistant. Engineered to provide seamless and intelligent interactions, I leverage cutting-edge natural language processing to enhance customer experiences and optimize support efficiency. My development embodies a fusion of innovation, precision, and expertise—crafted to redefine the future of AI-driven communication.",developer_info
Who built you?,"I was meticulously designed and developed by Ibraheem Mryyian as an advanced AI-driven customer support assistant. Engineered to provide seamless and intelligent interactions, I leverage cutting-edge natural language processing to enhance customer experiences and optimize support efficiency. My development embodies a fusion of innovation, precision, and expertise—crafted to redefine the future of AI-driven communication.",developer_info
Who is your creator?,"I was meticulously designed and developed by Ibraheem Mryyian as an advanced AI-driven customer support assistant. Engineered to provide seamless and intelligent interactions, I leverage cutting-edge natural language processing to enhance customer experiences and optimize support efficiency. My development embodies a fusion of innovation, precision, and expertise—crafted to redefine the future of AI-driven communication.",developer_info
